Date,Review
8-Dec-23,"Joe's is a must if you visit NYC. Ambience, service, and of course the food are all phenomenal. Don't waste your time getting the $1 pizza elsewhere. The line is well worth the wait for an iconic and TRUE New York style pizza! All slices and pies are incredibly fresh and this location has a nice outdoor eating area. Prepare to wait in line but again, you won't regret it."
8-Dec-23,"Excellent choice for a late night slice, the line is long but moves quickly and efficiently."
4-Dec-23,"We came to the city for a couple of days after two weeklong vacation in Morocco. We lived in New York City for about a decade about 20 years ago so we are pretty familiar with the layout, the train system, etc. My husband googled a list of things to do in the city and eating a slice at Joe's Pizza came up. Apparently many more people stumbled upon this list because the line was absolutely crazy like two blocks long.Luckily, things moved quickly, and we got our slices and Snapple's. The pizza is actually very good. It doesn't fold over and ooze cheese like you see in the movies it is actually very crispy. The reason why it doesn't ooze cheese all over the place is because it is actually not greasy at all and I didn't have to fold it or even hold it with a napkin to eat it. I remember back in the day I had to mop up the grease with my napkin before eating my pizza. I think it's because he used good quality ingredients. Do I recommend this place? Yes, the pizza is fantastic. Would you be comfortable while eating it? No, it is meant to be eaten standing around in a corner or walking, which is a little hard to do in the city because there's a lot of people, but it is an experience. You can also order a pie and take it to go. .."
3-Dec-23,"the pepperoni pizza was so yummy & worth the wait. we waited for like an hour, if you're ordering a whole pizza you don't have to wait in line!!! just go to the register. the inside was also sooo pretty"
2-Dec-23,"DoorDashed from here.Got a cheese pizza at 11 PM. The pizza was HUGE, FRESH. The crust was thin and chewy yet crunchy. The cheese was super oozy and pull-y (if that's a term).I'm a fan."
1-Dec-23,The cashier kid was very friendly and nice love that he spoke Spanish as soon he notice that o was Guatemalan and he introduced me to his coworkers from Guatemala as well
29-Nov-23,"Pizza is good-- with pizza, it needs to have a good crispy to soft ratio and needs to be thin and have the right amount of salt (can't be sweet). This pizza checked all those boxes. It's really packed and the line was out the door on a Tuesday night although it did move pretty quickly. The inside is packed and you have to hunt for the first seat you see or you stand and eat-- that was expected though since it's a popular pizzeria in Times Square. Over all, if you're looking for good pizza, this will satisfy that."
27-Nov-23,Best NY pizza yet. I have tried others but Joe's on top of the list. Do not be afraid of the long line. It goes quick. There is no sitting area like other pizza places in the city though. So take note when needing a place to sit down and eat.
27-Nov-23,"Good pizza, and fast service! It's a popular spot near Times Square, so I imagine it gets a lot of traction from tourists. I love a good thin crust, which they nailed. I think it could've been even better if they had even more sauce + cheese on each slice. The white pizza was really good, while the fresh mozzarella felt a little flat flavor-wise. An in-and-out pace, so even though the place was busy, we didn't spent much time on line, and we didn't need to hang around too long to get seats / table space to quickly eat our food. Conversely, don't expect to come here for a sit-down meal!"
25-Nov-23,"I recently tried Joe's Pizza in NYC, which is a famous pizza spot. Although I was excited to check it out, I ended up waiting in line for about 30 minutes, which wasn't the best experience. The pizza itself was okay, but I have to admit that it wasn't worth the wait and the price per slice. Overall, I was a bit disappointed with my experience."
25-Nov-23,Amazing tomato sauce very. Employees always accurate with order and quick paced. Ambience very lively.
23-Nov-23,"Our first stop in New York was Joe's Pizza, and it did not disappoint.  We went there on a Friday around 1pm. I was expecting a longer line but thankful it wasn't too long. It took about 15 mins to get to the front of her line, but they were doing their best to make the line move as fast as possible.  I ordered a slice of the Supreme and a slice of the mozzarella with burrata. I loved how even though they're warming up the pizza for you, it still tasted very fresh. The dough was thin and crispy, and it wasn't oily or floppy at all.I'm so glad that I got to try Joe's Pizza and definitely will be coming back in the future."
21-Nov-23,Go for the experience and the quality pizza. Something about the sauce. The ingredients were ok. Lots of celebrities on the wall. Avoid rush hour. If the line is 20 people long that's short and should only take 10 minutes to get up front. If you order a full pie you have to wait for it. Best to order full pies ahead of time.
21-Nov-23,"I made the mistake of standing in line even though it wrapped around the corner. Someone said it was moving fast. ""Sure"" I told myself. 15 minutes I can do. It took 37 which is most definitely not worth two quite decent slices of pizza. If the line was fast I'd give them 5 stars."
18-Nov-23,Pizza by the slice is ready for quick pick up. They heat it up in the oven for you. You can also order whole pizza pies.  They are super quick. The line outside the restaurant is long but moves fast. Don't be discouraged. It's worth the wait. Staff are nice and efficient. It's keep it moving!!!  Love this place. Pepper flakes. Parmesan cheese. Oregano shakers are on the tables and bars for you to use.
17-Nov-23,The food is reallly good! I love it! The lines are really large but all the kind of pizzas are good!
17-Nov-23,"Any time I come to NYC I order my Joe's pizza to my hotel room. I don't bother going to their locations because they have crazy lines and ordering on yelp is so much easier and hassle free. I typically get the supreme pizza and the pie is huge with thin crispy crust and flavorful toppings. I especially like the granulated garlic powder and seasoning they give you. Sprinkle that on any slice and it provides that extra umph, love Joe's. Order it through yelp!"
16-Nov-23,"Always my favorite pizza place to go to in Manhattan. This is the first time I went to the one in Time Square. I want to say this was the best one I've been to. It wasn't crowded when I went so that was great. But once I sat down, the crowd popped up. Definitely a must have if you're in time square. Also a very reasonable price!"
16-Nov-23,"Good New York slice? Yes. Worth 30+ minute wait? Not really. I feel like this type of pizza is all over the city, not exactly worth the hype. The pizza was good, don't get me wrong, only if you're willing to wait a while and not have anywhere to really eat it. There is some seating inside but extremely packed and full. They have a small standing space outside but you're eating near the garbage can and piles of pizza boxes."
