Date,Review
18-Sep-24,Decent amount of people in the morning around 10am. There's always a bar area if you don't mind sitting there. You pay at the front and they will give you the number. The food comes in pretty quickly and not gonna lie it's a big portion. My favorite is the potatoes. Pretty crunchy and soft at the same time. Highly recommend coming with friends
14-Sep-24,I had a full serving of banana French toast. While it was good it was pretty dense and very sweet. I would recommend getting the half serving or sharing the full serving with friends and combining it with on of the more savory options.
9-Sep-24,Omg this place is so yummy! Love the decor and aesthetic inside! The eggs Benedict was delicious. Good service and will be back!
7-Sep-24,"We ordered two meals and two drinks for about $45, which isn't too bad. The California omelette was fresh and the pesto on top is a unique idea that actually works well. The portion is pretty generous too. The banana French toast was reminiscent of a funnel cake to me and he seemed to really like it! The place is super cute and I like that you order at the front and then have a seat. They still came around to check if we needed refills which was nice. Overall, a pretty good place; I would definitely come back to try their Benedicts."
5-Sep-24,"Me and my wife were in the area, and decided to go to Popping Yolk. The wait time was short, but the place was very lively. We were served in about 20 minutes after ordering, and we really enjoyed the chicken sandwich and omelette we ordered."
5-Sep-24,"i have doordashed from this place countless times because i really love their waffles! dined in the other day and it's a walk-up order system where you find a table and they bring the food to you. service is quick, plenty of tables inside, and reasonably priced. if you have a sweet tooth like me, i recommend the toffee banana liege waffles or the berry liege waffles...very delicious!"
5-Sep-24,The coffee was good But the French toast was not the greatest It tasted too much like eggs and oil
3-Sep-24,"I should have stuck with my go-to Benedict breakfast items! Last weekend, I tried their toffee banana French toast and honeycomb strawberry crepe. Both were very good and sweet. The French toast was deep fried, drizzled with maple syrup. The crepe was huge, the caramel drizzle was a surprise! The staff were super friendly and kind, letting me know what were the best sellers in each category. The store is very aesthetic too! You actually order first at the counter then find a spot to sit! Highly recommend bringing your friends and catching up here!"
2-Sep-24,"Food: 3.8Service: 3If I were rating based solely on the taste of the food, I would round up to a 4. However, since service is a component of the review, I'm giving Popping Yolk a 3.My family, a group of five, signed in on the iPad and were told to wait 30-40 minutes. We ended up waiting close to an hour, which we didn't mind. Once we were called in, we were asked to order before being seated. The host informed us that the only seating available for our family was at the bar. Had this been communicated earlier, we would have gone elsewhere. She mentioned that if we preferred a regular table, we would need to wait another 30 minutes. This is the first time I've been told to sit at the bar after waiting an hour, especially for a party of 5. I would like to note that this was on Labor Day so I understand that the establishment was extra busy. I am hoping this is a fluke. As for the food, the California omelette and Classic Eggs Benedict were solid. However, I wouldn't recommend the Classic French Toast, as it was completely fried, leaving an unctuous taste. I also wouldn't recommend the berry waffles, as they were not crispy and were rather soft. My husband didn't love the Cowboy burger either, but that may just be based on preference. If you're looking for a cute and casual brunch spot, I don't think it's a bad option, but the seating left a sour taste in my mouth."
1-Sep-24,"Food was quick and tasty! I ordered and probably within ab 10 mins the food arrived. I was also in a larger group (8 ppl) and most tables were filled! The plate was MASSIVE, I had to save half of it. The latte was good but a bit sweet, I think it's the type of syrup they flavor with. Would get a diff flavor or none next timeService - the cashier was nice, food came out quick and areas were neat and cleanAmbiance - super cute and chill place. Could go there for brunch with friends, date, or even study space. Went on a Thursday around 11am and most seats were taken."
25-Aug-24,"This was our first time at a Popping Yolk location and we fell in love! Such a cute and nice location to have brunch with friends and family. It often gets busy but the wait times are not long. They have an iPad outside to put your name down on the waiting list. You pay for your food first and it's self seating. They have a few tables where it's communal and some that are for larger parties. We got three dishes off of their menu: 1. Cinnamon Apple French toast- tastes like the Cinnamon Toast Crunch cereal but with apples on top of it. Definitely on the crispier and sweeter side than regular french toast. It was overly sweet that we didn't need any syrup. 2. Crab cake Benedict's - this was a new item on their menu and our favorite. The cakes had a nice crust to the top but were flakey/soft in the middle. 3. Nashville Hot chicken sandwich - the chicken was perfectly fried and was moist. You get to pick your spice level. We got medium and wish we had gone up a spice level since it wasn't spicy at all. We asked for the coleslaw to be served on the side so the sandwich wouldn't get too soggy. Overall the food, service and ambiance were great! We would definitely go back to try other items off the menu."
25-Aug-24,This place is delicious!  They serve a lot of food and it is scrumptious.  The good thing I liked was that there are no waiters/waitresses so you order when you get there then you sit where you want.  It was pretty cool.  The ambiance is great!
25-Aug-24,"Came back and would definitely have to say one of my fave brunch spots! Took my boyfriend here and he's a protein guy and mainly focuses on eating protein but like bro you only live one life : we eat to enjoy , ANYWAYS LOL, he ordered the classic breakfast, I ordered eggs Benedict with ham & bacon, ube french toast (new item on their menu) , and a hazelnut iced coffee. Food: amazing. Evening was delicious , potato's were well seasoned and crispy , bacon was crispy , eggs were great , but the best dish was definitely the ube French toast! It wasn't overly sweet and the hints of coconut flakes as well as   Topped with cooked blueberries was the best because once you cook down any fruit natural syrup comes from it and it just made the French toast tasty ! total came out to be $50 something, a little pricey but for the portions , ambience, and service is worth it! Even if you order and pay up front you can definitely order more , you would just have to tell a waiter/waitress and you pay right then and there ! For a protein eater my boyfriend was satisfied and would definitely come again . We arrived on a Thursday around 9ish and it wasn't packed but as time went out definitely a lot more people started to swing by !"
24-Aug-24,"Regular food, you can make it at home for $10 instead of $60. No tase practically. Even Japanese  green tea is tasteful"
23-Aug-24,"The food was very good, and everything we serviced quickly. The overall aesthetic of the place is very nice and suitable for a quick brunch with friends."
18-Aug-24,"I've been a long time customer ever since this place opened several years ago, but today I am re-thinking if I will ever give them another visit.Food here has always been great, but today when I called to place a phone order while driving home, I was told that they no longer take phone orders and I will have to order online!How can I order online while driving on the freeway???What bugs me more, was the attitude over the phone and the I-don't-care decision by their management. Is it really that hard to take a phone order? I guess they can care less. There are also people who may not be able to go through the online process for whatever reason. Very disappointing."
12-Aug-24,"Great brunch spot in Alhambra - came on a Sunday morning around 10:30-11 and it was a 40 min wait.  It's a shame they don't do Yelp waitlist so you can join ahead of time online.  Once your number is called, you place your order at the counter before grabbing a number to find a table.  Got the California omelette, classic breakfast, smoked salmon croissant, berry waffles, and mango iced tea (with unlimited refills!).  Their portions were quite sizable so the value is there.  I like that their potatoes are cubed, small, and crispy.  The waffles were good although I wish the sauce/nutella came on the side as it can get a little soggy after awhile, nonetheless it was tasty.  The mango iced tea wasn't too sweet which is how I like it.  There is parking in a lot or structure off 1st Street.  Recommend going earlier if you want to avoid crowds!"
