Date,Review
30-Mar-23,"Was super excited to try this place. There was a family ahead of us who ordered a multitude of items, but because of it, we somehow waited 40 minutes for soft serve with 2 toppings each. I would like to think the employees were new and want to give them the benefit of the doubt, but for over $20 for 2 scoops of ice cream for each of us, we just had hoped for a different experience. My ice cream wasn't even fully mixed and the picture is of my boyfriend's...rough."
23-Mar-23,"Great customer service and calm, clean environment. I got the CapN'Berry and it was delicious."
16-Mar-23,"Found this place while driving by and decided to check it out.  It's super cute inside.  They serve ice cream, protein shakes, acai bowls... etc.  The girl helping us was super nice and welcoming as we walked in.  My daughter ordered the TNT acai bowl and loved it.  Was already planning her next trip while driving home. I'll definitely be recommending to other people and will definitely be coming back. So glad we don't have to drive so far for a good acai bowl."
5-Mar-23,Place is right outside my apartment complex. Covers my late night sweets cravings. Places is dope!
23-Feb-23,"We live in the apartments nearby and decided to try them out. Their ice cream, acai bowls, and smoothies are all fresh and made to order. We got the toastNtoffee ice cream, the PinkNBow ice cream, TNT acai bowl, Paradise acai bowl, and the paradise point smoothie. Although they were out of passion fruit juice for the paradise point smoothie, they were able to substitute it with peach juice instead and it was still super good! The ice creams are like a soft serve mixed with your choice/chosen cereals and swirled into your cup. We got all our item to go, so they were able to put all our ice creams in the cup that they usually put their smoothies in. The cups are re-usable, sturdy plastic cups. Good quality foods and quality products they use. Super clean and cute esthetic in there, and it was well maintained. The service was excellent, however I regret not getting the kind gentleman and lady's name that served us! They did an amazing job. We signed up for their loyalty program and was able to receive 10% discount on our first visit. I would highly recommend this to anybody looking to get a sweet fix."
22-Feb-23,We ordered the Dreamn Orange and the Cap'n Berry Treats and they were delicious.  The young man that helped us was very nice and helpful though we didn'tget his name.   Prices are affordable and the menu is simple. Was worth coming by even though it snowed earlier today!! Music choice was good too. Swing chairs were a cool feature.
18-Feb-23,Place is nice inside and in a nice quiet location. Crazy cool combinations of healthy juices and treats. Highly recommend checking this place out.
9-Feb-23,"One word, DELICIOUS! Upon walking in, I was greeted warmly, with a great smile. The hip-hop music had a great beat too. This place is extremely clean with a simple yet elegant decor.I ordered the Snap N' Jack, without the sour patch kids and was asked if I'd like to substitute anything instead, which was very thoughtful.The ice cream and mixins were balanced and not too sweet. I will be back to try their other offerings.Come check this place out if your looking for a cleans, boost, protein shake, or try their ice cream, if you have a sweet tooth!"
5-Feb-23,This place is new and nearby so convinced my husband to try it out. We both decided on Açaí bowls. The TNT and Paradise. I do have to say it is pricey compared to other places. It was good we enjoyed. Will stop in to try something else from their menu.
1-Feb-23,"Wow this place is so YUMMY! We ordered the Acia bowl and it was the best one I've ever had! It was so creamy, refreshing, and sweet. I could eat one for breakfast every. single. day."
