Date,Review,SentimentScore
20-Sep-24,Don't walk RUN!!!  If you love great good please go. The service was great. Nice atmosphere. They had music playing which I'm glad wasn't loud like most restaurants. Now to the food. I had the neem egg roll. OMG it was so good. My entrée was the red snapper and jollof rice. If the cook would've came from the back just know he would've got slap cause everything was seasoned and cooked to perfection.  The price and portions matched.  This place should be packed based on food alone.  The restaurant will definitely be added to one of my favorites in Vegas. I have read the negative reviews and just because a certain type of cuisine isn't your thing that shouldn't be your reason for a low rating. Just my personal opinion.,0.9848
17-Sep-24,"Absolutely outstanding service by Hawa and Ole. The fresh grilled snapper with the confit, jollof rice and sauce was amazing. The tender fall off the bone oxtail was amazing as well. The gravy was outstanding with the white rice. The plantains and meat filled patties were also outstanding. The pineapple ginger drinks were amazing. We will definitely be coming back! Thank you for the amazing experience. Take care",0.9913
15-Sep-24,Wow thank you to the whole team this is the best African kitchen in AMERICA thank you Nene for an incredible experience. The food and palm wine will blow your mind. We cannot wait to come back. Highly recommended Lola P,0.9336
14-Sep-24,"I highly recommend Calabash African Kitchen for flavorful food! If you're looking for good service, this may not be the best option. You will have to be prepared to wait for your food order. It is a long wait, probably 45 minutes to 1 hour after your order is placed. The food is 100% worth the wait! I ordered the Red Stew with Jollof Rice - both were fresh and packed with FLAVOR!! I'll be back to try more dishes but I may order for pick up instead.",0.6576
12-Sep-24,"The two ladies who greeted us when we walked in were incredibly warm and welcoming and the dining room was clean and open. The table and chairs were comfortable. Music was a little loud. Our server kindly offered to bring me a taster of the baobab milk drink when I asked what it was...it was tasty so I promptly ordered a glass! Sort of like horchata in terms of consistency, flavor profile was sweet and slightly fruity. She also brought out tasters of various stews of theirs to help inform/guide us on our menu selections. I had the okra stew with a side of jollof rice and we ordered the appetizer sampler as well. From the sampler: the plantains were sooo delicious...perfectly caramelized and soft but not mushy, the empanadas were tasty, and the fried black eyed pea balls were scrumptious. The okra stew was also delicious...rich, thick and full of flavor. The jollof rice was a tasty surprise as well. It was a little smoky for my taste but that's probably just a personal preference and I don't hold it as a negative toward the restaurant...I imagine that's just the nature of the dish. It also didn't stop me from woofing down quite a bit of it with some of the oxtail soup broth ladeled over it....dee-lish!",0.9571
12-Sep-24,The food was amazing and flavorful. Me and my boyfriend enjoyed everything from the welcoming environment to the fresh food. Terrence made sure we were taken care of. This was an amazing first experience and we will definitely be back again.,0.9729
8-Sep-24,"I went to Calabash on Friday evening and it was my first time . I enjoyed the ox tails, and I love the ginger drink.. I loved the live music and the people were very nice and very friendly. I cannot wait to go back to see with friends and family..",0.9686
7-Sep-24,Love love love !!! The food was amazing. The service was on point. The music was the vibe. So happy we found this place. The food was not very pricey and worth every penny. Environment was clean and comfortable.,0.9841
6-Sep-24,"What an amazing restaurant this is. A delight for your mouth and senses. Walking in it felt like an oasis with soft afrobeats and a spacious layout. Calm. Smelled great. Nice greeting and seated promptly. The menu is full of things I have only ever read about in West African Speculative Fiction. Egusi Soup, Jollof of Rice, Goat Pepper Soup & Peanut butter soup come to mind. I was also looking for a grilled fish and they have Grilled Snapper! We got  the snapper, egusi, red stew and sides. Each felt so complete, seasoned and just tasted like this chef cooks everything beautifully-Any cuisine I believe. The textures the heat- allOf it was delicious! The snappers smokiness was perfectly balanced with the delicate onion confit & the tomato/onion/cucumber garnish reminded me of Pico De Gallo...such an amazing combo. The calabash spice really popped too. I also learned that Baobab Juice ""Bouye"" exists! It tastes great-not quite like anything I have had. As if the Baobab tree weren't awesome enough! They make a few other nice juices, I really liked the pineapple ginger. Our server, the only server there, served the whole dining room with grace and generosity often handing out samples first to be sure you liked it-Class act. So thrilled to have found such a tasty place!",0.9953
6-Sep-24,Amazing place and the food was delicious. Nene our server was delightful thanks for everything.,0.9349
30-Aug-24,"My favorite African cuisine in Las Vegas! I tried the fufu, oxtail stew, egusi and jollof rice. If you like a little kick it's there! Must try.",0.7256
28-Aug-24,"Ordered empanadas, chicken peanut butter stew, chicken chu, beef jolof,Empanadas were really flavorful with a nice fresh red sauce.Chicken peanut butter stew and chu was probably some of the best braised chicken dishes I ever had. The chicken was grilled and heavily seasoned which formed a flavorful crunchy crust, which I've never tasted on a braised chicken dish. Excellent.Beef jolof was delicious as well although i could possibly like it better if it was with the chicken. I'd be curious to come back and try the goat or ox tail versions of the dishes. I thoroughly enjoyed my experience here.",0.9768
23-Aug-24,It's my second time trying the food and both times have been amazing from the food to the service.Nene was our server on Wednesday and she was so sweet and attentive as well as the rest of the staffAll the food has great flavors and can't wait to go again and try something new,0.9308
22-Aug-24,"I saw this place on TikTok and had to try it while I was in town. The food was amazing, and so was the service. Nene went above and beyond to serve us. She gave us samples to try, which was really helpful. I recommend the Fataya pies, oxtail stew, egusi soup, and the red stew. They were all delicious! I would definitely come back here if I'm in Vegas again.",0.9465
21-Aug-24,"My 13 year old was dying to try Fufu so we found this place on google maps. We ordered the Oxtail, the Fried Plantains, and the Empanadas. The Empanadas were the perfect flakiness and their sauce had a not too overwhelming kick to it. The Plantains had the perfect sweetness to them and were not over fried, and the Oxtail was very juicy and succulent. I'm still not sure if I'm sold on Fufu because it was a little too starchy for me personally but this place is hands down an amazing spot to sample some of the best West African recipes. The staff was courteous and extremely helpful with the ordering process.",0.9797
18-Aug-24,"This place is great!  The flavors are amazing and the menu has so many great choices.  Our server, Terrance, helped us navigate what to have ...this time we had oxtail stew and cassava leaf stew ... jollof rice and fufu.   It's so hard to describe how delicious everything is!   Try it, you'll love it!!!  A great family run restaurant!!!",0.9783
18-Aug-24,Food is amazing and the ambience is great. The service is fantastic. My favorite dish is the Oxtail with white rice.,0.9382
15-Aug-24,"Great ambiance, super clean, very welcoming and homely. The food is absolutely delicious.. get the pineapple ginger drink and thank me later.",0.9468
11-Aug-24,"I have been here several times and each time I come it's always amazing. Thank you guys I always have the best experience whether I'm with friends or or dining alone. Service is always great and they are very friendly makes me feel very comfortable, the music is great and so are the drinks food is amazing alway hot fresh and flavorful .. thank you!! See yall soon",0.9891
10-Aug-24,"This is one of my absolute favorite places to eat. If you're looking for a nice comfort food, this is the place to go. I normally get the oxtail soup with fufu. The oxtail falls off of the bone, sooo tender!! I have dined in and ordered delivery and the food is just as good even when it's delivered. The owner is such a beautiful soul.. she puts her all into her cooking and you can absolutely tell. She even comes out to talk to you and ask how everything is when dining in, Shes a true queen!! Come in, sit down, enjoy the yummy food and great atmosphere!!",0.9831
9-Aug-24,"Flavor BOMB! Delectable Spices galore!!I loooovvvee finding hidden gems like this. This was also my first time trying West African food.. According to the their website, this is African Fusion cuisine:""West African restaurant serving Jollof inspired Senegambian cuisine. Where Senegalese Restaurant meets Gambian Food. ""- A good size venue with a bar in the front. The ambiance was chic, yet relaxing. Nothing pretentious about this place. Staff were friendly and very helpful. In fact, the lady who was assisting us brought out a sample of several sauces to try, so we could get an idea of what the dishes tasted like...Mahalo! Parking is not an issue with plenty of spaces available in the shopping plaza.I got no clue what Senegalese or Gambian food tastes like on it's own. Either way, the food here was delish!! Everything we had was packed with flavor and oh so scrumptious...#AfricanFusion:~ FRIED PLANTAINS - 4/5A small appetizer. Just your run of the mill Fried Plantains. Very edible, nothing special.~ HIBISCUS JUICE ""Bissap Wonjo"" - 3.5/5Nothing amazing about this one. This was delicate and refreshing with a mild Hibiscus flavor. I had much better Hibiscus Juice before. ~ OKRA STEW ""Soup Kanja"" w/Lamb - 4.5/5We had to be taught on how to eat this. Take the round ball (bread) that is presented to you, flatten it with your hands and enjoy with the Stew...basically making a small taco. Tender pieces of Lamb bursting with flavor... brilliant!~ RED STEW ""Chu"" w/ Goat - 5/5It doesn't look like much. But the Stew was AMAZING!! So flavorful, without being overly Spicy. The Goat was  so tender, it just fell apart. Don't sleep on this place. I can't wait to try the rest of the menu!",0.9764
9-Aug-24,"Amazing! My new favorite spot. Dont be afraid to come and ask for suggestions if you are new to West African cuisine; the whole staff is so friendly. My order was goat chu with fufu. There is oil and there are bones; it is all flavor baby! The flavor is amaazin. The owner (more importantly the chef) came out to greet everyone as time allowed. She is a very sweet soul. It comes out in her food. Authentic food and music made me feel a million miles away, which is exactly what i needed on a Friday. I will be back soon!",0.9622
9-Aug-24,"This is my second visit to Calabash African Kitchen, and my friends and I thoroughly enjoyed the experience. My husband and I shared the grilled meat- chicken and lamb with a portion of Jollof Rice. The meal was excellent, with the right amount of spice. My friends shared the goat and fufu. They, too, only had good things to say about their meal. The service was excellent. Our server was attentive and helpful. The owner also came out to chat with us and ensure everything was to our liking. I can't wait to return.",0.9848
7-Aug-24,"Have been wanting to try African food, and this place is IT! From the cleanliness of the restaurant to customer service, you can't go wrong. All the employees offered excellent customer service and very hospitable. Ordered the chicken empanadas, grill meat platter, oxtail w/ fufu, chicken wings and jollof rice. DELICIOUS! Definitely returning.",0.9322
