Date,Review,SentimentScore
11-Dec-22,"amazingggg !! came to eat with my boyfriend and father in law and service was 10/10 , gave us samples for the drinks , brought out more spices , checked on us .. overall the place is such a vibe (: ! food is realllyy good too !!",0.8057
11-Dec-22,Food was excellent (seafood empanadas and oxtail stew) as were the drinks (made with African juices). Service was very attentive and our server was so sweet and really worked hard to make us feel welcome. Will totally be back!,0.8801
10-Dec-22,"12/11/22 *Updated* - I am updating my review to 5 stars based on the OUTSTANDING customer service I received from Oulay the owner (Keith Lee was right, the customer service here is fire!!). Per my previous review I had an issue with my order, however Oulay immediately contacted me after my post and corrected the issue expeditiously. I am honestly amazed! I will now eat here as often as I possibly can and continue to spread the word to my friends and family and on Tiktok and I will add updated pics after my next dining experience at Calabash. Thank you again Oulay!I visited Calabash on Sat Dec 10th based on Keith Lee's Tiktok review and a few other reviews I'd seen. There are definitely some pros and cons which I will list below. Pros:1. I thought the 30 min wait time for my to go order was reasonable. 2. Generally the food was very flavorful and delicious and had an appreciate level of spiciness.3. The restaurant was very clean and modern inside. Cons:1. I ordered jollof rice with chicken (per my receipt pictured), I received jollof rice without chicken (per picture), but was charged $21 which is the price with chicken. Extremely frustrating. As other reviews have mentioned, check your to go orders throughly - open every box to ensure its what you ordered. 2. The oxtails were good, albeit very expensive ($27 for 3 small oxtails in a stew). However they were more fatty than oxtails I've had at other spots in Vegas. The stew was amazing though.",0.9722
10-Dec-22,Freaking Fresh and fantastic.  Pleasant atmosphere too. The food was so savory. I will definitely be back......live music on Sundays 1-close,0.8542
9-Dec-22,I'd write a long review but I'm sitting at the table trying not to go into a food coma! Oxtail stew and fufu til I about burst! And our waitress was the sweetest thing ever!,0.0
9-Dec-22,Great service and food! The jollof rice and chicken empanadas are my favorite! I will be returning very soon,0.8264
8-Dec-22,"Calabash African Kitchen is an amazing black-owned, family-run restaurant with a stylish modern interior, stunning west African-themed dishes, great music, vibes and service. My new favorite restaurant in Las Vegas!I tried the owner's favorite, cassava leaves stew with goat,  (Five Stars) and my server's favorite, peanut butter stew with chicken. (One million stars)If I could give this restaurant more than 5 stars, I would! Take advantage of the free parking in front of the restaurant. Take a seat at the fully-stocked bar directly ahead as you enter, or request a spacious booth or table. Admire the stunning artwork on the walls while you listen to cutting-edge positive-themed new music from Africa. Your tour guide for this review is in love with traditional African cuisine and the healing tonic of African spices and imports, music, food, culture. Ask for help and advice from the owners and staff members who will be delighted to make recommendations per your taste based on their favorites and help you get aquatinted with the menu. Try an African-themed cocktail or carafe of house wine or sangria. Request a side of homemade hot sauce to accompany your starters and main course. (5 stars) African chili peppers are exceptional. If you like spicy food like I do, seek out African peppers and chilis, they are world class incredible! The homemade salsa here is smokey and creamy with a nutty flavor, with the consistency of good mole paste, it's rich, complex and incredibly spicy. (Five stars)Get compliments like ""Wow, just wow."" ""Thanks for recommending this place!"" And. ""Finally. You finally really found the winning ticket restaurant."" (Actual compliments) From whoever you recommend this restaurant to or bring with you. Many thanks to the owner and staff members for sharing your favorites, recommended actions and stories with me. What an honor, treat and privilege. Hands down, my favorite restaurant in Las Vegas. Newcomers, check this place out. Thanks Calabash!",0.9982
5-Dec-22,"My daughter and I wanted to try other culture foods . We found this place and decided to try . Upon arriving we were greeted by 2/3 women . We order soup with fufu , seafood enmpanadas, and jolaf rice . I hope I'm spelling this stuff right . I am no fan of fufu but we loved to just try it . My daughter and I enjoyed every last bite . We loved it . We recommend this place to everyone and we will be back again and again . Keep up the great work",0.9828
3-Dec-22,Absolutely fabulous restaurant!  Exemplary service and food.  Beautifully decorated.  Highly recommended! We wlll be returning soon.,0.877
2-Dec-22,"First time here! The lovely owner took the time to sit and answer all of our questions. The staff gave us samples of the drinks and egusi. We ended up ordering the oxtail soup, empanadas, plantains, and drinks. The food was delicious! The whole restaurant was a vibe! From the decor to the music everything was on point.",0.8547
27-Nov-22,"The food here is so good, very delicious. Worth every penny and the service is great. I recommend having beef in my empanada. Will come back.",0.9499
