Date,Review,SentimentScore
22-Sep-24,"Went bc of Keith Lee hype , the food was gooodddd and I felt stuffed , the owner is very nice and very attentive and you can really tell he cares for his guests and to ensure guests experience is met , the garlic knots are tooo goood !!",0.8605
19-Sep-24,Phone order my pizza. 2 medium. They said give them 35/45mins. Ok cool. Waiting an hour and headed to pick up my pizza 5 mins away. Get there and they haven't started on my order yet. So I left. Couldn't tell you if the pizza was good or not,0.7506
16-Sep-24,The Italian sub is the best I have ever tasted!!! The garlic knots were HUGE and so good!! Sorry I didn't take pics this time I just enjoyed. Say hi to Frank he was so kind and the service impeccable.,0.9622
3-Sep-24,This used to be one of my favorite places.  I think the new staff isn't as kind or nice as the old staff.  Frank himself is still cool.  I hope he gets better though.I still recommend this place.,0.9122
30-Aug-24,"Owner greeted us with a strange story with a side of racist comments! My encounter with him was disturbing and uncomfortable.The Italian sub was tasty, but not exceptional.",-0.5848
28-Aug-24,40+ minutes for a small pizza. ridiculous. people who ordered after me got their food before me. not worth it. would not come again unfortunately,-0.2801
25-Aug-24,"I was so excited to try the viral pizza joint in town finally got a chance since they are so far from me and just wow! The prices def expensive ! Wasn't worth the drive at all, the pizza was cold, mid af and expensive I asked for 2 slices and it was $10!!! Like wtf expensive af no lunch special nothing at all! Pizza was missing cheese and over cooked at bottom. a Caesar salad is $12!!! lettuce cheese and croutons! I told the guy that I went on Grubhub due to Google not having the information for their wings listed, and their website not working that the prices are significantly cheaper; a slice of pizza is $2.75, The salad was only 6.99, wings were $7 for 6 wings. when I asked the cost of the wings for six wing pieces I was advised it was $13. For four slices of pizza, a Caesar salad came to over $35 INSANE!!! I don't understand how they expect people to spend this kind of money to keep their business open when the prices have been hiked so and they are in the middle of Maryland parkway. I hope they do better for the owners sake . I will never be back, as a east coast girl this pizza was mid 2/10.",0.8106
25-Aug-24,"Almost all the reviews on here are positive,  so we thought we would try it. The first time, they burnt our calzone, so they had to make a new one. When we got it home, there was more bread than filling. Needless to say, we were disappointed. We called and spoke to the owner who offered to replace it. We took him up on our the other day and ordered our replacement along with 12 wings. We got the food home and once again were disappointed. The wings were soggy and I found a long dark hair in the canzone. Unfortunately, I'm now turned off by this place and wine be back.",-0.6124
24-Aug-24,Didn't care for the pizza and wings at all. Both were extremely soggy. The garlic knots were good but as a complete meal it was lacking.,0.0351
24-Aug-24,"Great spot. We found this place from Keith Lee, and he had it highly rated. He's dead on the pizza is fantastic, great pepperoni and cheese. Not quite NY style. Little thicker crust, but it's really good. The Buffalo wings also were great. We will be back.",0.9388
