Date,Review,SentimentScore
25-Aug-24,"Really wanted to enjoy this restaurant, but I was a little disappointed. I popped in for lunch and decided to try despite the different reviews. Some guests said they really enjoyed everything and some said it was just okay. I ordered the jerk wings since I saw that many people ordered them as well. But the wings are extremely small. I normally don't mind small wings and didn't expect them to be jumbo sized but that was disappointing. Because the wings are crispy, some parts of the wing were overcooked and hard to bite through. They serve them with a side of fries, but for the price I would have liked to have 2 sides? I had jerk wings with fries and an alcoholic drink... my tab was $39 dollars. If I try again, I would consider a to go order, but I'd steer away if you do not want to spend $40 for two items.",-0.0829
25-Aug-24,"Good food and service but have them break down your bill and look at the receipt before paying. I feel kind of ripped off because I was charged for a 20% gratuity twice. And when I came back inside to ask about it, all the waitress said was ""Sorry about that."" Not cool.",-0.4841
25-Aug-24,Order food at inside 3:20 pm get my food at 4:00 pm the young lady had an attitude They totally lost on what you ordered Bypass this place,-0.3804
9-Aug-24,The worst customer service I've ever received. The snapper was mushy and I asked to have it remade and the owner/manager stated that he would not remake it but would charge me for the whole meal and not give me the meal I paid for. Terrible. I will NEVER come here again. I wish there were negative stars. The owner smoked hookah instead of resolving the issue. Unacceptable.,-0.8689
9-Aug-24,"Cool atmosphere especially for late night but I came for lunch. The stewed chicken was good for $11 on the lunch menu, everything was fresh. I don't believe the wings are fried, so was missing the crispy aspect and the fries were just normal. The service was nice as well. I would come back to try them again.",0.8906
7-Aug-24,"I recently tried Jamaican Jerk Biz as it is one of the few restaurants near me. I tried to place an order online; however, that was not an option and I had to call-in the order, (which is not a big deal at all). When I went to pick up my order and pay, the total was $17.85; however, the price for my entree on the menu was $14. So ""of course"" I had the option to add a tip on top of this $17.85 amount and I kindly declined; however, that is when I asked the hostess why the price was almost $18 in the first place. She said we add 18% gratuity to all orders including to-go. The problem is that nowhere on their website does it say anything about adding 18% gratuity to to-go orders. I felt like it was a scam and I don't like to feel scammed. So I paid and laughed at the fact that she was asking for an additional tip that she had already added. I vowed not to return as those are poor business practices. And it's really a shame because I have a large family and would love to have more diverse options for ordering in this area, but if I ordered food for my whole family with an automatic 18% gratuity, who knows how much my total would be.  The food itself was just ok. I got a lot of rice and only a scoop of chicken. The cabbage had no seasoning. It also was giving hookah lounge vibes more than restaurant... which is so Atlanta.",0.6581
25-Jun-24,"U decide!!! 45 min wait before I got a cup of water n able to order. The 2 ladies who came in behind me suffered the same wait time. You would've thought you had to order your food through an app because there was no sign of a waitress. All food comes in black plastic ""to-go"" boxes with a plastic spork.  Menu stated Caesar salad $10.00 Add shrimp or chicken or beef $13.00. What I received in a plastic to go carton was some chopped up lettuce  only ( I promise u) n 4 shrimp on top. My bill for that $26.00. Lettuce retails $2.18, 4 shrimp .37 x 4 = 1.48.  The jerk salmon was cold n dry. Yellow rice sticky. The young waitress still had her see through one piece jumper on from the club the night before. ( No lie...did not mind the visuals) And O yes! , plenty of attitude like I was wasting her time to want to order. She said menu was clear about salad. I missed the memo that n Mableton one pays for a takeout of a half head of lettuce n 4 grilled shrimp for $26.00 ?!? Total takeout $48.00. I would not dare tip. The days are gone that to patronize a black own restaurant one has to endure this ... ish. My prediction this place will not last 6 months. To many quality black owned dine in  restaurants available with respectable service. PS ... l was going to stay n eat but I did not want to catch a case on a Sunday. At home I added tomatoes, olives, cheese n balsamic vinegar that made my ""lettuce salad"" pop. Added garlic Parmesan dressing to salmon and water to rice and salvaged my meal. U have been warned... spend your money wisely...Peace ...",0.4728
8-Jun-24,"The food was delicious, I had the shrimp rasta pasta. I will say everything comes in plastic or styrofoam which was very sanitary but some people may say ""tacky"". The wait time was also 30+ minutes for our order and we saw many to go orders come and go. Overall 4/5!",0.3903
7-Jun-24,"Food was absolutely delicious! We got the brown stew chicken and the curry goat. It was fresh, hot and plenty of food too.",0.7639
3-Jun-24,"Keith Lee, must've been sadly mistaken, because I visited this location on Saturday, June 1 & I must admit, I don't think I'll ever return. I ordered the jerk pasta and added chicken.The blandest ""jerk"" pasta that I've ever tried. My cousin ordered the jerk chicken entree and the chicken was very dry. We ordered drinks; Don Julio rep with splash of cranberry, she brought back a cup, no ice and Don Julio and cranberry mixed. I would've left an addition star but the server we had must've been having a bad day because she appeared to be in a very bad mood.I left this exact review on Google and here is how the owner responded: ""Thanks again for you taken the time out your busy day to give us your 1 star review we really appreciate it.. Have a safe and blessed day.""",0.5089
10-May-24,"Nice addition to the neighborhood! The servers/bar tenders/hostesses are always very nice. I tiried the pineapple chicken and my hubby had the curry chicken, both were really good and so are the chicken patties!! The beef were ok but I like the crust on the chicken best!! Whatever yall are doing to the chicken patties -- please keep it up!",0.9629
3-May-24,"I had the Jerk Shrimp with a side of Jerk Chicken. The chicken was bomb! Authentic Jamaican Jerk, tender inside, seasoned skin, hint of smoke. The shrimp came with cabbage, Rice & Peas. The jerk sauce has onions and peppers  LIKE THAT.",-0.8342
1-May-24,I come here for the jerk patties often there real good! Today I decided to actually get a meal. I got the jerk Rasta pasta & it was a hit !,-0.3578
17-Apr-24,Great food!  The oxtails were awesome.  My husband had the curry goat and loved them.  We had a great experience.  Check them out.,0.9551
7-Apr-24,"I decided to stop by Jamaican Jerk Biz on a Saturday since it's not too far from the middle school I work at.Parking is always easy to find, which is a breath of fresh air in Atlanta. I was in the mood for dinner and good music. As soon as I walked in the door, I was met with just what I was looking for! The waitresses told me I had to dance upon entering, and being a good sport, I did! Since I was dining alone, I took a seat at the bar and the bartender with the short blonde cut immediately gave me a menu and cup of water. I ended up ordering the Veggie Rasta Pasta and a cup of Crown regular with a splash of sprite. I truly appreciate the chef at this business so much! I haven't been here in a while but the food was still amazing! Just the right amount of seasoning and spices and the temperature is perfect! It was so good I forgot to take a picture. I completely devoured my entire meal.They do charge 20% gratuity regardless of party size, which I was aware of because it was stated on the menu, however, I didn't realize there was a price difference for paying in cash vs. card. I believe it was $1 or so.  Overall, I wasn't expecting to pay almost $40 for a solo meal ($13 for crown and $16 for Veggie Rasta Pasta) but it was well worth it. I will continue to return as long as the chef continues to cook the way he/she does! I probably would have stayed for another drink if the dj didn't change the music genre to R&B.",0.9837
28-Mar-24,"Only got the jerk chicken rolls so far, had to be the best egg rolls I tasted ever. Service was not too long, place was not too busy at all. Employees are great.",0.7845
16-Mar-24,The drinks were good. The oxtail meal was a huge disappointment. I had only had 4 oxtails with no meat. The only meat were strands in the gravy. I feel cheated.,-0.5574
16-Mar-24,"Great Food, decent service. We took our food to go! I recommend the Red Snapper. The drinks are amazing.",0.8932
7-Mar-24,"Oh my gawd. This Rasta Pasta is da truth! Best pasta dish I ever had. Came for lunch, can't wait to come back for dinner to really enjoy the vibe.",0.883
27-Feb-24,I have the Rasta pasta and and my girl had another pasta forgot which one I thought the total would be about 40 but it came out to 65 dollars! For pasta that barely had any jerk flavoring. I was charged gratuity when are server just handed us sum food never checked on us nothing until the bill came was charged 10$ extra? And taxes up to 5 dollars like are you crazy! If this was more of a mom and pop shop and the pasta was actually cheaper then 20 dollars then it would be 5 star but don't go here if u expected cheep or fair prices for pasta just go to twisted kitchen or olive garden,-0.5557
21-Feb-24,"This spot is fine if you're starving. I had jerk chicken, rice and peas, cabbage, and plantain dish. The chicken was fine (wasn't quite there), and the cabbage was a little on the saltier side (I'm used to having a cabbage that has that little sweetness to it). The plantains weren't sweet either. Rice and Peas are rice and peas, so no complaints there.I don't waste food, so I continued eating it. The server didn't come around much (I'm okay with this as this is the common theme with Jamaican restaurants (YouTube Rasheed Thurmond stand up). Also, FYI gratuity is added automatically. When you get your receipt to sign, there is a tip line on there so I can see why folks tip twice. Hkl deal on my end because I actually look at my bills so I don't end up getting played, but I can see how others may not notice. In short, I've had better Jamaican food at Golden Crust, and that's saying a lot. Will I come here again, probably not.",0.6025
7-Feb-24,My card information was compromised by one of the waitresses here and they tried shopping at multiple online clothing stores.Definitely overpriced priced for two people. It was $107 for lunch. Two plates and pitcher of rum punch $107.,0.0
31-Jan-24,"Arrived there were only about 4 other customers. Ordered Oxtails they were tough, not edible. The Owner refused to switch to a different entree or serve allow for another entree to be ordered. Extremely rude belittling and condescending. I was there for a birthday dinner with my mother. He was extremely out of line especially talking to someone his elder. Never going back, disheartened and disgusted that any man would feel like his behavior or aggression was ok. Also no consideration for complaints he told her she didn't know what oxtails were supposed to taste like. Run!",-0.7233
30-Jan-24,"I ordered the oxtails with collard greens, rice, and peas through UBER EATS. The food was amazing and packaged well. It was also still fresh when it arrived...shout out to my delivery person that night. It's definitely worth it.",0.8957
29-Jan-24,"Stepped in this place looking for some good eats and was very disappointed with the food. I ordered curry chicken figuring you can go wrong at a Jamaican spot. Boy was I wrong, mushy rice and un-tasty curry chicken. I have had better at golden crust. They served the food in black to go containers and drinks in plastic cups. To top it all off they charge gratuities and ask for tips? The place loos good but don't go for food.",-0.012
