Date,Review,SentimentScore
17-Sep-24,"Of any food one could try in Manhattan, a slice of New York pizza is always at the top of everyone's list. And with a large variety of places scattered throughout the entirety of Manhattan, choosing a place to try has always been a challenge for most people. As a visitor to the area, I wasn't sure myself on what place would represent the pizza in New York the best. So when a friend recommended me to try Joe's Pizza a few blocks away from Times Square, I figured I'd take their suggestion and see what the big commotion is about.Arriving at Joe's Pizza for the first time, I was not aware that this spot was popular for its cameo in Spiderman and for the amount of famous individuals that have stopped by to try their pizza. So when I saw the line stretching around the block on a Wednesday night around 8:00PM, I was astonished for sure! Even though the line was long, I knew I had to get my hands on a few slices. And boy I am sure glad I did. The line did seem to be very long at first, yes. But after getting into the madness, I was in the restaurant in the a matter of 10 minutes. Taking a look inside, the restaurant was quite small with a few tables and chairs to stand at. But for the most part, people were taking their pizzas to go. For this experience, I was able to try slices of their Pepperoni Pizza (Slice is $5.50, Pie is $31.00) as well as their Supreme Pizza (Slice is $6.50, Pie is $35.00).First things first, do not underestimate the size a slice truly is. I ordered two slices of Supreme Pizza in addition to a whole pie to split. And with what I would consider a larger appetite than most people, I was full after three slices. For most, a slice or two will be more than filling. Now looking at a slice of each, the pepperoni pizza had plenty of pepperoni pieces on the top which was more than worth it for $5.50 price tag. And as for the Supreme Pizza, each slice came with a balanced helping of pepperoni, Italian sausage, crisp red onions, and mushrooms; this was also definitely worth it for a dollar more. For a minimum of $4.50 a slice, the price to portion ratio is more than great: It's a steal!The taste of the pizza was one of the best I've ever had....anywhere. Other than the greasiness of the slices, each component was delicious and I never felt that Joe's was overrated in any way. Beginning with the bread, the dough was soft and easily chewable while the crust was perfectly salted and perfectly crisp. The cheese pulled very easily as the pizza was fresh out of the oven and was very cheesy, so much so that the layer of cheese on the pizza came off the slice when pulled hard enough. The marinara sauce on the pizza was more muted compared to other slices I've had in the past. But to that end, the marinara was still present and contributed a light sweetness to the food. Every topping put on after that allowed the flavor of the pizza a new personality. And with that, there wasn't a single bad topping. Starting with the pepperoni, I enjoyed the balance of spice and zest each slice had. Mixed with the marinara sauce, a sweetness was brought to the surface. The red onions were baked to their caramelization point which made them taste like the skin of a red apple. In other words: very delicious! For next, the mushrooms were pretty standard and exactly how you would imagine them tasting on a pizza. But in addition, their texture blended in with the pizza to add some chew onto the cheesiness. For last, the sausage was very mild in spice which made it taste closer to the meat of a hot dog. But because of this muted flavor, each of the foundational components were highlighted.Joe's Pizza has mastered their basics and have crafted what I would say is one of the best pizzas in the country, no question. But even with this, Joe's has a variety of other toppings that showcase their mastery of the New York Pie and add personality for the city's diverse cravings. The price for a slice or an entire pie is well worth it for any budget which makes Joe's very accessible to all. If you are comfortable waiting in line for a bite to eat, Joe's is definitely a solid choice and earns a solid 5/5 stars in my book. If in doubt, look at the amount of people lining up to give their slices a try. There is a reason everybody comes by and keeps coming back for more! Great pizza, Joe's!",0.9992
17-Sep-24,"I visited this iconic pizza spot before heading to a Broadway show and it did not disappoint! We arrived around 6 pm, and even then, a line was already starting to form. It wasn't too long at first, but by the time we got near the door, it had really stretched, a testament to just how beloved this pizza joint is.The establishment itself is quite small, and inside, people were packed like sardines, eagerly enjoying their pizza. Some were even standing just to experience eating in such an iconic space. Thankfully, there's some seating outside, and we managed to snag a spot. However, don't expect to linger after finishing your meal... it's a quick in-and-out type of place.I opted for the Supreme Pizza, while others in my group got pepperoni, cheese, and Caprese pizzas. I only had one slice, but it was more than enough to fill me up for a few hours. The Supreme was delicious, and I'm glad I tried something different, but in all honesty, I still prefer the pepperoni, which is their signature. There's something about its simplicity that just hits the spot every time.This was my second time visiting, and I can confidently say it's a must-visit for anyone wanting a classic New York pizza experience. Just make sure you have some extra time on hand because the line tends to get long (we were here for about 45 mins). The service was solid, the prices are definitely for the people, and the pizza? Absolutely one of the best pizzas I've had!",0.9971
16-Sep-24,"I love this Joe's pizza location. It's located on the way to my office. So I can just grab a pizza and take back to home. A lot of customers can be expected during weekend. But the waiting line normally moves pretty fast. My recommendation is whole pie cause it's at better value than slice. But if you can't finish, get a slice of meat lover and you will fell full immediately. There are a lot of other attractions nearby so it's also a good place to spent some time during weekend.",0.9818
16-Sep-24,"I ordered a box of pepperoni pizza to go, so I can't comment on the service, ambiance, or wait times. Maybe because I ordered it for delivery my experience was different, but I thought the pizza was mediocre. The pepperoni slices were way too salty for my standard.Next time, I'll go to the store to try the margarita pizza fresh out of the oven-- maybe that will make me understand the big hype around this place!",0.501
15-Sep-24,"Supposedly Joe's pizza is a mecca of time square new york! This is definitely a bucket list to do. Iconic pizzeria to just try out. Spiderman the movie was filmed here.Stood in line for 30 mins just to get in. The line went all the way to the end of the block. Finally got inside and ordered a Large Pizza. This is a NO NO! If you are ordering an entire pizza, you will be waiting a long time!! You have to buy it by the slice. We waited another 30 mins because they would just put you to the side and practically forget about you. This establishment makes bank! $$ it's always full.   I would do it once. Pizza tasted like Valentinos pizza in California Manhattan Beach lol. Don't get me wrong, it's good but only good to stay in line once.  :) Seating is vary hard to get! Make sure you use a buddy system to wait for seating.   Cool place.",0.9452
14-Sep-24,I needed to find the best pizza in New York so after doing some research I came across Joe's pizza. I was only in New York for the weekend but I definitely came back for another slice it was that good.  line was about a 5-10 min wait both times I went but it was worth the wait.,0.9072
13-Sep-24,"Joes is a classic place to get a slice, great atmosphere, great people, quick and easy, finally it's reasonably priced for the quality. The cheese is a classic cheese slice, nothing to complain about. The pepperoni was amazing, Flavorful pepperonis, stretchy cheese, amazing sauce. Joes does it very well.",0.9726
11-Sep-24,"It didn't click at first why Joe's Pizza looked so familiar, but then I realized this is where Peter Parker worked as a delivery driver in Spider-Man! Don't let the long line scare you off--this spot is a local favorite for good reason. Trust me, the line moves quickly, and when it's your turn, you might as well grab a whole pie. The supreme was easily our favorite!""",0.9649
8-Sep-24,Great NYC style pizza.  Worth the wait.  There was a huge line when I went but I glad I waited.,0.8248
7-Sep-24,"NYC pizza staple... we had pie at Times Square and East Village locations.  Both were very good.  I got Supreme (Sausage/Roni) and Cheese.  Cheese is really good.  Tables have shakers to spice, season and cheese it up.  If the line is long, you can order pie at register directly which is about 15min wait. Line can be 30 minutes at Times Square location.",0.8898
