Date,Review,SentimentScore
7-Dec-22,"Eggs benedict is easily my favorite breakfast food, so I was really excited to try Popping Yolk Cafe. I ordered Classic Eggs Benedict and it was overall an unpleasant dish. The hollandaise tasted like vinegar. I don't know if it was sour or if they meant for it to taste like that. The potatoes were good, but not the star. The salad was bland with random bits of corn. My friend ordered the BBQ pulled pork benedict. We only ate one eggs benny each and then trashed the rest. I was surprised that we were both disappointed.The flatware was so cheap and dull that it was hard to cut through the english muffin. How Sway?! The dish is $18, please buy decent flatware. The service was adequate. The ambiance is meh.",0.8649
7-Dec-22,"I've come here before, around opening time and enjoyed my experience. Came today (still here as I'm writing this review) with my son at 2pm to have a late lunch with my son. Food was amazing. Huge portions and fast service. Food was so good but we couldn't finish because at 2:15pm, the staff started cleaning the kitchen. We became nauseous from the overwhelming smell of cleaning products. It caused us sto stop eating. Then, the staff started mopping around us. That's just too much, especially when we are eating. We spent nearly $50 just to feel sick. They close at 3pm, but this is not acceptable. They did not take into consideration that we are having a dining experience at all and how this affects their customers. It was tone deaf on their part.",-0.4806
7-Dec-22,"Items:1. BBQ Pulled Pork Benedict (top) | $17.50 | 4.5/5 2. Avocado Benedict (bottom) | $17 | 5/5 Review:- They were quite busy and had lots of people as there was a line that led outside the door and seating was mostly full- Solid place for brunch, specifically eggs benedict- They offer lots of different variations of eggs benedict which is nice- Generous portions as the meal was pretty filling with the eggs benedict, salad, and potatoes!- Not much barbeque flavor in the BBQ pulled pork benedict- There is indoor seating with pretty decorations and a nice ambienceParking:Free parking in the nearby parking garages",0.945
4-Dec-22,"First time.  Place was very clean.  Ordering food before sitting down is a great plan.  Once at table the server looks for your number given at register and brings the drinks.  We ordered coffee.  Water was brought at no request in beautifully clear glasses.  We ordered the French Toast Banana with caramel, it was so crunchy delicious with just right amount of sweetness.  Plus the Classic Breakfast Bacon, Maple flavored sausage, eggs over easy, 1/2 slice of lightly toasted white bread and potatoes.  The potato's were fried to very crispy crunch was so good.  Also the Spam kimchi omelette was very unique and the flavor made my buds alive and happy.  The staff was very Friendly and helpful.  We will definitely be back!",0.9903
3-Dec-22,So delicious! Big portions and a great atmosphere. We ordered the Norwegian Eggs Benedict with a Horchata Latte and the  Nashville Hot Chicken Sandwich. Will be back soon!,0.865
1-Dec-22,"I'm kind of stunned that I spent $30 on lunch for a latte and eggs Benedict after tax and tip. It was a bit way too spicy for me. it was very dusted with paprika? I think. Service was nice, but my silverware and glasses weren't the cleanest. I would consider this a substantially filling, but not the healthiest version an eggs Benedict could be.",0.1415
28-Nov-22,"If I could afford/ didn't care about my waistline, would sooo eat this every day. Every dish we saw come out of the kitchen looked like a work of art. The all-stars of their daily brunches are clearly their wide variety of Benedicts and omelettes, served with a light and oh so tasty salad (yay ruffage!)  and the best brunch potatoes have ever had! My order was the Nashville Hot Chicken Benedict, annnnd wow. Perfectly sweet and spicy, this bene had the perfect satisfying crunch and juicy chicken. The hollandaise sauce wasn't too heavy but so very flavorful. The poached egg (pictured) was beautiful and done right! He ordered the California omelette, which had a sample of, 'twas delicious. Can't beat the Benedicts though! The service was quick and efficient. Each customer places their order at the front entrance, takes a seat, and served from there. Our glasses were not once less than half full. Tried the Taiwan Beer - mango flavor- tasted like a canned agua Fresca. Would personally skip this next time, the drink was super sweet with less than 3% alcohol.  Go for the mimosas and water! This spot is undoubtedly THE place in Alhambra to do brunch. You gotta go!",0.9921
24-Nov-22,"Brunch is a huge staple in California, and this place meets the bill nicely. If you are looking for healthy, they got it. Luxuriously casual, the family style seating isnt my goto, but it isnt the worst either. There are separated tablime settings both inside and outside as well, for those who need or desire a more private setting. The french toast selection is both something dreams are made of and your dieticians worst nightmare - an experience to be had for sure. Whilst I do not partake, the mimosas look great as well.",0.988
19-Nov-22,"To date, this is still my favorite place for French toast since it's never overwhelmingly sweet and has the perfect outside crisp. I've tried their other benedicts but this was my first time trying the soft shell crab one. The portion of the crab was generous and definitely not overshadowed by the egg itself! I also tried their Popping Yolk Burger which had an angus beef patty, egg, and grilled mushrooms! It was a packed and heavy item for breakfast but delicious nonetheless. If you're looking for a refreshing drink. Try the mango green tea! It's fruity and light plus it's unlimited refills.",0.9566
16-Nov-22,"The food was good but you pay for the ambiance. Service wasn't the most impressive but again, people come here to catch a vibe and an ig worthy food pic. Cute and tasty but doubt I'd come back because I'm more of a diner style vibe.",0.2667
12-Nov-22,"Came here with the mindset I wanted all American breakfast. What we got was so much more than that. Maybe I wasn't in the mood for it but it was way too extra for us. I ordered crepes for the kids thinking they were simple and the norm. The crepes had too much going on. Not a very kid friendly Menu for ones 3 and under. The people working there was the super nice and worth the mishap on craving for breakfast. If you are looking for huge portions and Etta extra, then try it. But it wasn't my palette norm.",0.891
12-Nov-22,"Really cool, really decadent breakfast spot with great coffee drinks.  We had the waffles and calamari.  It may be worth coming early if you want to avoid the crowds.",0.7713
11-Nov-22,"Everything was perfect, which explains the wait time. It is worth the wait. Fresh quality food, good service. Not used to this check in. It's my first time at this business. You check in thru the iPad in the front by the main door. It will give you a time. When your wait time is over you come up order and they will tell you where to sit. I got the Nashville Hit Chicken Benedict. It was better than I expected. I thought the chicken was going to come dry and huge, but it came to a perfect size and completely fresh, the chicken was juicy the potatoes were fried to perfection. I love my potatoes crispy. Their salad was delicious and fresh. They constantly come asking you if you would like more water. There's straws available at your table without request. Definitely a great first time experience for me I don't understand why this place has four stars. I eat out a lot and this place was immaculate. Thank you for providing good quality. I rather pay more for good quality then to eat something I don't like and get bad service because they are not charging enough.",0.9915
11-Nov-22,"Do not order the American breakfast plate. The worst breakfast plate I've ever had.  The potatoes were so fried they tasted like crispy oil.  The bacon was thin and oily.  The maple sausage and sunny side up eggs were fine. A mixed green salad with corn and italian dressing-on a breakfast plate? The meal came with an unusually small piece of dry toast..missing butter, jam.  Maybe another slice, too.Also, the restaurant has a horrible, cheap cleaning solution smell...and even more potent in the bathroom.I regret not asking for another plate.  I was with a friend, and we were deep in a conversation; I didn't want to disrupt our flow of conversation, so I didn't complain about the horrible meal...I won't be returning",-0.2809
10-Nov-22,"Seriously delicious! Went with the family for brunch and there food was absolutely fantastic. Plus, what seems like endless coffee refills, although, I do think their coffee could be a tad stronger. Regardless, delicious place. Definitely looking forward to coming back.",0.9564
9-Nov-22,The food is good! They have potato grits included with your Sandwich but I also ordered fries in the side. Don't do it as the meal itself is more than enough. I could hardly finish the food! I had the salmon Benedict before and it was so good. The Nashville chicken is also juicy and good but not as spicy as I would wished. But that's just my preference. 10/10,0.8816
9-Nov-22,"Ordered a lot of food, only couple of things that I liked, would definitely watch out for a couple of menu items. The NashvilleBenedict was nice as well as the Belgium. Id stay from the the straw berry crepe, the French toast",0.8555
9-Nov-22,Very cute atmosphere! Came for an early morning breakfast during the week. Not busy that early during the week. Good food and fast service! I will be back if I'm ever in the area again.,0.7768
6-Nov-22,Highly recommend their French toasts! Do not get their teriyaki chicken omelette it is a weird combination,0.3367
5-Nov-22,"For the price I would expect better service. Because you pay before sitting down, ordering after being seated is inconvenient. Came with a group of 3 and paid over $90 for the sides to be just potatoes and salad for all the breakfast items. I thought it was pretty pricey.",0.5106
3-Nov-22,"Walked here for lunch to enjoy breakfast food There is plenty of seating, water was brought to us right away, and there are lots of cute decorations making it a pleasant environment. We ordered sweet potato fries (pretty good but not as flavorful as other places) and the french toast (really good and i like the crunchy bits)!!I would come back, lots more to try! My friend treated me so I can't comment on price.",0.966
3-Nov-22,Great Brunch spot in Alhambra. Came here for the Nashville hot chicken sandwich and eggs benedict. Awesome food and service.,0.8481
3-Nov-22,Hit this spot this morning. Food was pretty tasty and service was friendly. Will be back to try some other items. I do recommend trying the French Toast.,0.836
