Date,Review,SentimentScore
17-Sep-24,"Absolutely love Thick&Thin, I'm here on daily and never disappoint! Veronica and Cyril are always very welcoming and make my order amazing every time. Great choices of protein bars and healthy snacks.",0.9676
16-Sep-24,the watermelon juice refresher is sensational and my favorite protein shake is the cookies and cream. all must trys!,0.3802
16-Sep-24,"I've been on a smoothie kick and the Watermelon Mint smoothie was the perfect pick for the end of summer. The large was $13 and popped up with a discount for my first purchase. The smoothie itself was tasty and I like that it was well-blended so there weren't chunks of ice. I also like their clear cups, fun marketing extra. Service was okay - I went in pretty early, there was only one person working, and they were in the back before and after making my order. I wouldn't go out of my way to come here specifically, but it's a nice asset to the area and convenient to the gym next door. Bonus points for having outdoor seating!",0.9696
23-Aug-24,I decided to stop on my way out & it was9. She wasn't ready till 10 mins after opening  and she seemed annoyed someone was here at 9 am. Then her regulars come In & her attitude changes with huge smiles .,-0.1306
9-Aug-24,"I just enjoyed a workout next door at IVI Performance and walked into Thick & Thin for a protein shake. The ambiance was aesthetically pleasing and clean! The woman that helped me recommended the Banana & Butter and it did not disappoint. Aside from the protein shakes, all the other treats looked amazing and I cant wait to go back and try more menu items. 10/10!",0.9446
5-Aug-24,"After two years of being a regular, I think it's time that I look for another dessert spot. Aesthetic, the cool merch, and the unique layout were the plus of this place but what you mainly came here was obviously for the dessert. I've noticed that they took out the machines they were using the first year that they opened. I've also noticed that some employees/chefs would be using the kitchen area from Pine Bistro next door (maybe same ownership?) which looked a little weird. However, the quality of the food was very subpar, it used to be so creamy and rich, but it felt like the PB N King I always get, tasted like something I can make at home with my Ninja Blender. I'm a huge fan of supporting small business', especially in our area around Southern Highlands, but please bring back the consistency of your product. Lastly, I just wanted to add about the service. I hate nitpicking service, but it wasn't busy, there was no other customer in sight to be flustered with orders and the usual questions of ""would you like toppings on top?"" ""Is it your first time with us?"" Etc. were something that I loved about this place. Maybe some basic customer service training needs to be reimplemented.",0.9759
4-Aug-24,"What happened Thick & Thin? Whenever I come here, I'll usually get the pink n bow ice cream. I'm attaching 2 photos with my review of apparently the same item. One is from last year and another for current photo from today. As you can plainly see, there's a huge difference. What I got today was basically vanilla ice cream blended with strawberry syrup and a couple chunks of cheesecake bites. No KitKat or sprinkles to be found. I basically paid for an overpriced strawberry sundae. If that's what I wanted, I really could have gotten it anywhere else for much cheaper. I was so disappointed with what I got today, I tossed it in the trash after investigating it and a couple bites. My husband pointed out that their machines that used to make the ice cream weren't there anymore. We noticed that they were using a regular blender instead. I'm pretty sure that's the main reason why it turned out the way it did today, but I'm also certain that they missed putting any KitKats or sprinkles in the blender. Sadly, the service had also taken a hit. They never asked if I wanted toppings like they always have before, and I had to ask for a spoon since there weren't any available with the rest of the utensils at the pick up area.I really don't see myself coming back here unless they got their ice cream blending machines back. It was a big let down since this was the only place I knew nearby that blended their ice cream with toppings and other ingredients for the texture-loving peeps. It was nice knowing the old Thick & Thin.",0.5274
25-Jul-24,"I've been here a few times! I love it here so glad it's in the neighborhood, the girl with the red hair isn't too friendly so it throws off the friendly aesthetic here but will be back bc I love it here nonetheless kudos to the owner design & location choice!",0.9353
17-Jul-24,"I recently visited Thick and Thin and had a 10/10 experience.I decided on the MatchaMama and it was absolutely delicious! The blend was perfectly balanced, refreshing, and packed with flavor. It's the best Matcha smoothie I've had. It was evident that the ingredients were fresh and of high quality.The employee Veronica also ensured that my order was prepared exactly as I wanted, checked in to see if I was enjoying my smoothie, and made sure the entire experience was pleasant and memorable. Her friendly and attentive demeanor truly added to the overall positive experience.Thick and Thin is now my go-to spot for smoothies, thanks to the outstanding service and the fantastic quality of their drinks. I highly recommend!!",0.9937
17-Jul-24,"When it comes to mind-blowing dining adventures, Thick & Thin Treats is the ultimate destination. Prepare to be wowed by their menu, which is a work of culinary art featuring an array of mouthwatering homemade juices, smoothies, and ice cream. The ambience is cozy and welcoming, and the staff is incredibly warm and attentive, ensuring that every visit is an absolute delight. At Thick and Thin, you'll experience a one-of-a-kind fusion of wholesome and indulgent delights all under one roof. I've been to this spot multiple times, and each visit has left me absolutely thrilled - it's an absolute must-visit for any food enthusiast!",0.9752
17-Jul-24,"The customer service was outstanding, the ice cream was delicious and the fruit toppings were fresh!!! The shop was very clean and welcoming. It's a must try!",0.954
16-Jul-24,My experience was amazing coming here I would recommend coming and trying the treats they have here they are delicious the workers are amazing this store great positive energy I'm totally coming back,0.9738
